哎哟,āi yō,hey,meaning_vi
再接再厉,zài jiē zài lì,to continue the struggle (idiom); to persist,tiếp tục cuộc đấu tranh (thành ngữ); kiên trì
攒,zǎn,to collect,để thu thập
赞叹,zàn tàn,to sigh or gasp in admiration,thở dài hoặc thở hổn hển trong sự ngưỡng mộ
赞同,zàn tóng,to approve of,phê duyệt
赞扬,zàn yáng,to praise,khen ngợi
赞助,zàn zhù,to support,để hỗ trợ
暂且,zàn qiě,for now,bây giờ
糟蹋,zāo tà,to waste,lãng phí
遭受,zāo shòu,to suffer,chịu đựng
遭殃,zāo yāng,to suffer a calamity,phải chịu một tai họa
遭遇,zāo yù,to meet with,để gặp gỡ với
造反,zào fǎn,to rebel,nổi loạn
造型,zào xíng,modeling,người mẫu
噪音,zào yīn,rumble,ầm ầm
责怪,zé guài,to blame,đổ lỗi
贼,zéi,thief,tên trộm
增添,zēng tiān,to add,để thêm
赠送,zèng sòng,to present as a gift,để tặng như một món quà
渣,zhā,slag (in mining or smelting),xỉ (trong khai thác mỏ hoặc luyện kim)
扎,zhā,to prick,chích
扎实,zhā shi,strong,mạnh
眨,zhǎ,to blink,chớp mắt
诈骗,zhà piàn,to defraud,lừa gạt
摘要,zhāi yào,summary,bản tóm tắt
债券,zhài quàn,bond,trái phiếu
沾光,zhān guāng,to bask in the light,để đắm mình trong ánh sáng
瞻仰,zhān yǎng,to revere,tôn kính
斩钉截铁,zhǎn dīng jié tiě,to chop the nail and slice the iron (idiom); resolute and decisive,chặt móng tay và cắt sắt (thành ngữ); kiên quyết và quyết đoán
展示,zhǎn shì,to reveal,tiết lộ
展望,zhǎn wàng,outlook,triển vọng
展现,zhǎn xiàn,to come out,đi ra
崭新,zhǎn xīn,brand new,hoàn toàn mới
战斗,zhàn dòu,to fight,chiến đấu
战略,zhàn lvè,strategy,chiến lược
战术,zhàn shù,tactics,chiến thuật
战役,zhàn yì,military campaign,chiến dịch quân sự
占据,zhàn jù,to occupy,chiếm giữ
占领,zhàn lǐng,to occupy (a territory),chiếm đóng (một lãnh thổ)
占有,zhàn yǒu,to have,có
章程,zhāng chéng,rules,quy tắc
长辈,zhǎng bèi,one's elders,người lớn tuổi
障碍,zhàng ài,barrier,rào cản
帐篷,zhàng peng,tent,lều
招收,zhāo shōu,to hire,thuê
招投标,zhāo tóu biāo,bid inviting and bid offering,mời thầu và chào thầu
朝气蓬勃,zhāo qì péng bó,full of youthful energy (idiom); vigorous,tràn đầy năng lượng trẻ trung (thành ngữ); mạnh mẽ
着迷,zháo mí,to be fascinated,bị mê hoặc
沼泽,zhǎo zé,marsh,đầm lầy
照料,zhào liào,to tend,có xu hướng
照样,zhào yàng,as before,như trước đây
照耀,zhào yào,to shine,tỏa sáng
照应,zhào yìng,to correlate with,để tương quan với
遮挡,zhē dǎng,to shelter,để trú ẩn
折腾,zhē teng,to toss from side to side (e.g. sleeplessly),quăng từ bên này sang bên kia (ví dụ: mất ngủ)
折,zhé,variant of 折[zhé],biến thể của 折[zhé]
折磨,zhé mó,to persecute,để bức hại
真相,zhēn xiàng,the truth about sth,sự thật về sth
真挚,zhēn zhì,sincere,chân thành
珍贵,zhēn guì,precious,quý giá
珍稀,zhēn xī,rare,hiếm
珍珠,zhēn zhū,pearl,ngọc trai
侦探,zhēn tàn,detective,thám tử
斟酌,zhēn zhuó,to consider,để xem xét
阵地,zhèn dì,position,chức vụ
阵容,zhèn róng,troop arrangement,sắp xếp quân đội
镇定,zhèn dìng,calm,điềm tĩnh
镇静,zhèn jìng,calm,điềm tĩnh
镇压,zhèn yā,suppression,đàn áp
振奋,zhèn fèn,to stir oneself up,để khuấy động bản thân
振兴,zhèn xīng,to revive,để hồi sinh
震惊,zhèn jīng,to shock,gây sốc
争端,zhēng duān,dispute,tranh luận
争夺,zhēng duó,to fight over,để tranh giành
争气,zhēng qì,to work hard for sth,làm việc chăm chỉ vì cái gì đó
争先恐后,zhēng xiān kǒng hòu,striving to be first and fearing to be last (idiom); outdoing one another,phấn đấu để là người đầu tiên và sợ là người cuối cùng (thành ngữ); vượt mặt nhau
争议,zhēng yì,controversy,tranh cãi
蒸发,zhēng fā,to evaporate,bốc hơi
征服,zhēng fú,to conquer,chinh phục
征收,zhēng shōu,to levy (a fine),thu (tiền phạt)
正月,zhēng yuè,first month of the lunar year,tháng đầu tiên của năm âm lịch
挣扎,zhēng zhá,to struggle,đấu tranh
整顿,zhěng dùn,to tidy up,dọn dẹp
正当,zhèng dāng,honest,trung thực
正负,zhèng fù,positive and negative,tích cực và tiêu cực
正规,zhèng guī,regular,thường xuyên
正经,zhèng jīng,decent,tử tế
正气,zhèng qì,healthy environment,môi trường lành mạnh
正义,zhèng yì,justice,công lý
政权,zhèng quán,regime,chế độ
证实,zhèng shí,to confirm (sth to be true),để xác nhận (điều gì đó là đúng)
证书,zhèng shū,credentials,thông tin xác thực
郑重,zhèng zhòng,serious,nghiêm trọng
症状,zhèng zhuàng,symptom (of an illness),triệu chứng (của một căn bệnh)
枝,zhī,branch,chi nhánh
支撑,zhī chēng,to prop up,chống đỡ
支出,zhī chū,to spend,chi tiêu
支流,zhī liú,tributary (river),phụ lưu (sông)
支配,zhī pèi,to control,để kiểm soát
支援,zhī yuán,to provide assistance,để cung cấp hỗ trợ
支柱,zhī zhù,mainstay,trụ cột
知觉,zhī jué,perception,sự nhận thức
知足常乐,zhī zú cháng lè,satisfied with what one has (idiom),hài lòng với những gì mình có (thành ngữ)
脂肪,zhī fáng,body fat,mỡ cơ thể
直播,zhí bō,live broadcast (not recorded),phát sóng trực tiếp (không được ghi lại)
值班,zhí bān,to work a shift,làm việc theo ca
殖民地,zhí mín dì,colony,thuộc địa
职能,zhí néng,function,chức năng
职位,zhí wèi,post,bưu kiện
职务,zhí wù,post,bưu kiện
指标,zhǐ biāo,norm,chuẩn mực
指定,zhǐ dìng,to appoint,bổ nhiệm
指甲,zhǐ jia,fingernail,móng tay
指令,zhǐ lìng,order,đặt hàng
指南针,zhǐ nán zhēn,compass,la bàn
指示,zhǐ shì,to point out,để chỉ ra
指望,zhǐ wàng,to hope for sth,hy vọng vào điều gì đó
指责,zhǐ zé,to criticize,chỉ trích
治安,zhì ān,law and order,luật pháp và trật tự
治理,zhì lǐ,to govern,cai trị
制裁,zhì cái,to punish,trừng phạt
制订,zhì dìng,to work out,tập thể dục
制服,zhì fú,to subdue,khuất phục
制约,zhì yuē,to restrict,hạn chế
制止,zhì zhǐ,to curb,kiềm chế
致辞,zhì cí,to express in words or writing,diễn đạt bằng lời nói hoặc chữ viết
致力于,zhì lì yú,Committed to,Cam kết
致使,zhì shǐ,to cause,gây ra
智力,zhì lì,intelligence,trí thông minh
智能,zhì néng,intelligent,thông minh
智商,zhì shāng,IQ (intelligence quotient),IQ (chỉ số thông minh)
滞留,zhì liú,to detain,giam giữ
志气,zhì qì,ambition,tham vọng
忠诚,zhōng chéng,devoted,tận tâm
忠实,zhōng shí,faithful,trung thành
终点,zhōng diǎn,the end,sự kết thúc
终究,zhōng jiū,in the end,cuối cùng
终年,zhōng nián,entire year,cả năm
终身,zhōng shēn,lifelong,suốt đời
终止,zhōng zhǐ,to stop,dừng lại
中断,zhōng duàn,to cut short,cắt ngắn
中立,zhōng lì,neutral,trung lập
中央,zhōng yāng,central,trung tâm
衷心,zhōng xīn,heartfelt,chân thành
种子,zhǒng zi,seed,hạt giống
种族,zhǒng zú,race,loài
肿瘤,zhǒng liú,tumor,khối u
重心,zhòng xīn,center of gravity,trọng tâm
众所周知,zhòng suǒ zhōu zhī,see 眾所周知|众所周知[zhòng suǒ zhōu zhī],xem 眾所周知|众所周知[zhòng suǒ zhōu zhī]
州,zhōu,prefecture,tỉnh
舟,zhōu,boat,thuyền
粥,zhōu,congee,cháo
周边,zhōu biān,periphery,ngoại vi
周密,zhōu mì,careful,cẩn thận
周年,zhōu nián,anniversary,dịp kỉ niệm
周期,zhōu qī,period,Giai đoạn
周折,zhōu zhé,complication,sự phức tạp
周转,zhōu zhuǎn,turnover (in cash or personnel),doanh thu (bằng tiền mặt hoặc nhân sự)
皱纹,zhòu wén,wrinkle,nếp nhăn
昼夜,zhòu yè,day and night,ngày và đêm
株,zhū,tree trunk,thân cây
诸位,zhū wèi,(pron) everyone,(phát âm) mọi người
逐年,zhú nián,year after year,năm này qua năm khác
拄,zhǔ,to lean on,dựa vào
主办,zhǔ bàn,to organize,tổ chức
主导,zhǔ dǎo,to lead,dẫn đầu
主管,zhǔ guǎn,in charge,phụ trách
主流,zhǔ liú,main stream (of a river),dòng chính (của một con sông)
主权,zhǔ quán,sovereignty,chủ quyền
主题,zhǔ tí,theme,chủ đề
住宅,zhù zhái,residence,nơi cư trú
注射,zhù shè,injection,tiêm
注视,zhù shì,to watch attentively,chăm chú theo dõi
注释,zhù shì,marginal notes,ghi chú bên lề
注重,zhù zhòng,to pay attention to,chú ý đến
助理,zhù lǐ,assistant,trợ lý
助手,zhù shǒu,assistant,trợ lý
著作,zhù zuò,to write,viết
驻扎,zhù zhā,to station,đến ga
铸造,zhù zào,to cast (pour metal into a mold),đúc (đổ kim loại vào khuôn)
拽,zhuài,to pull,kéo
专长,zhuān cháng,specialty,đặc sản
专程,zhuān chéng,special-purpose trip,chuyến đi có mục đích đặc biệt
专科,zhuān kē,specialized subject,môn chuyên ngành
专利,zhuān lì,patent,bằng sáng chế
专题,zhuān tí,special topic,chủ đề đặc biệt
砖瓦,zhuān wǎ,tiles and bricks,gạch và gạch
转达,zhuǎn dá,to pass on,để vượt qua
转让,zhuǎn ràng,transfer (technology,chuyển giao (công nghệ
转移,zhuǎn yí,to shift,thay đổi
转折,zhuǎn zhé,shift in the trend of events,thay đổi xu hướng của sự kiện
传记,zhuàn jì,biography,tiểu sử
装备,zhuāng bèi,equipment,thiết bị
装卸,zhuāng xiè,to load or unload,tải hoặc dỡ hàng
庄严,zhuāng yán,stately,trang nghiêm
庄重,zhuāng zhòng,grave,phần mộ
幢,zhuàng,classifier for buildings,phân loại tòa nhà
壮观,zhuàng guān,spectacular,hùng vĩ
壮丽,zhuàng lì,magnificence,sự tráng lệ
壮烈,zhuàng liè,brave,can đảm
追悼,zhuī dào,to mourn,than khóc
追究,zhuī jiū,to investigate,để điều tra
准则,zhǔn zé,norm,chuẩn mực
琢磨,zhuó mó,to carve and polish (jade),chạm khắc và đánh bóng (ngọc bích)
着手,zhuó shǒu,to put one's hand to it,đặt tay vào nó
着想,zhuó xiǎng,to give thought (to others),suy nghĩ (cho người khác)
着重,zhuó zhòng,put emphasis on,nhấn mạnh vào
卓越,zhuó yuè,outstanding,nổi bật
资本,zī běn,capital (economics),vốn (kinh tế)
资产,zī chǎn,property,tài sản
资深,zī shēn,senior (in terms of depth of accumulated experience),cấp cao (về chiều sâu kinh nghiệm tích lũy)
资助,zī zhù,to subsidize,trợ cấp
姿态,zī tài,attitude,thái độ
滋味,zī wèi,taste,nếm
滋长,zī zhǎng,to grow (usually of abstract things),phát triển (thường là những thứ trừu tượng)
子弹,zǐ dàn,bullet,viên đạn
字母,zì mǔ,letter (of the alphabet),chữ cái (trong bảng chữ cái)
自卑,zì bēi,feeling inferior,cảm thấy thấp kém
自发,zì fā,spontaneous,tự phát
自力更生,zì lì gēng shēng,regeneration through one's own effort (idiom),tái sinh thông qua nỗ lực của chính mình (thành ngữ)
自满,zì mǎn,complacent,tự mãn
自主,zì zhǔ,independent,độc lập
踪迹,zōng jì,tracks,bài hát
宗旨,zōng zhǐ,objective,khách quan
棕色,zōng sè,brown,màu nâu
总而言之,zǒng ér yán zhī,in short,tóm lại
总和,zǒng hé,sum,tổng hợp
纵横,zòng héng,lit. warp and weft in weaving; vertically and horizontal,thắp sáng. sợi dọc và sợi ngang trong dệt; theo chiều dọc và chiều ngang
走廊,zǒu láng,corridor,hành lang
走漏,zǒu lòu,to leak (of information,rò rỉ (thông tin
走私,zǒu sī,to smuggle,buôn lậu
揍,zòu,to beat up,đánh đập
租赁,zū lìn,to rent,thuê
足以,zú yǐ,sufficient to...,đủ để...
组,zǔ,to form,hình thành
阻碍,zǔ ài,to obstruct,cản trở
阻拦,zǔ lán,to stop,dừng lại
阻挠,zǔ náo,to thwart,ngăn cản
祖父,zǔ fù,father's father,bố của bố
钻研,zuān yán,to study meticulously,học tập tỉ mỉ
钻石,zuàn shí,diamond,kim cương
嘴唇,zuǐ chún,lip,môi
尊严,zūn yán,dignity,phẩm giá
遵循,zūn xún,to follow,đi theo
左右,zuǒ yòu,left and right,trái và phải
做东,zuò dōng,to act as host,đóng vai trò là chủ nhà
做主,zuò zhǔ,make the decision,đưa ra quyết định
座右铭,zuò yòu míng,motto,phương châm
作弊,zuò bì,to practice fraud,thực hành gian lận
作废,zuò fèi,to become invalid,trở nên vô hiệu
作风,zuò fēng,style,phong cách
作息,zuò xī,work and rest,làm việc và nghỉ ngơi
