"expression","reading","meaning","tags","guid","meaning_vi"
"潮","しお","tide","JLPT_1 JLPT","bk[V+Gm9:@","thủy triều"
"歯科","しか","dentistry","JLPT_1 JLPT","OAZ`Wrx_o9","nha khoa"
"自我","じが","self, ego","JLPT_1 JLPT","b-m;dw=d{Y","cái tôi, cái tôi"
"自覚","じかく","self-conscious","JLPT_1 JLPT","i/]v!LT[`[","tự giác"
"仕掛","しかけ","device, trick, mechanism","JLPT_1 JLPT","Jsems8J4`^","thiết bị, thủ thuật, cơ chế"
"仕掛ける","しかける","to lay, to set, to wage","JLPT_1 JLPT","Ac40<_hm$3","đặt, đặt, trả lương"
"しかしながら","しかしながら","however, nevertheless","JLPT_1 JLPT","Hq^C6[L3R8","tuy nhiên, tuy nhiên"
"色彩","しきさい","color","JLPT_1 JLPT","G$Z8Bsx{4U","màu sắc"
"式場","しきじょう","ceremonial hall, place of ceremony (e.g., marriage)","JLPT_1 JLPT","rHP.1FI!Xg","phòng nghi lễ, nơi tổ chức buổi lễ (ví dụ: hôn nhân)"
"しきたり","しきたり","custom, conventional practice, tradition","JLPT_1 JLPT","sw_]y<P?Kn","phong tục, tục lệ, truyền thống"
"事業","じぎょう","project, enterprise, business","JLPT_1 JLPT","A#sQ/bEEtj","dự án, doanh nghiệp, doanh nghiệp"
"軽蔑","けいべつ","scorn, disdain","JLPT_1 JLPT","lOS,!wvUe[","khinh miệt, khinh thường"
"経歴","けいれき","personal history, career","JLPT_1 JLPT","D*n(@DRyq`","tiểu sử cá nhân, sự nghiệp"
"経路","けいろ","course, route, channel","JLPT_1 JLPT","AQ(D;C-S!0","khóa học, tuyến đường, kênh"
"けがらわしい","けがらわしい","filthy, unfair","JLPT_1 JLPT","lJNQ&9#g@p","bẩn thỉu, không công bằng"
"劇団","げきだん","troupe, theatrical company","JLPT_1 JLPT","%y17:4{hj","đoàn kịch, đoàn kịch"
"激励","げきれい","encouragement","JLPT_1 JLPT","C6/gh1N08I","sự khích lệ"
"ゲスト","ゲスト","guest","JLPT_1 JLPT","lW>d7fCUoL","khách mời"
"獣","けだもの","beast, brute","JLPT_1 JLPT","o.IW_<j!,1","con thú, kẻ vũ phu"
"決","けつ","decision, vote","JLPT_1 JLPT","h7W;[eV_6*","quyết định, bỏ phiếu"
"決意","けつい","decision, determination","JLPT_1 JLPT","Gg{:k%<AT6","quyết định, quyết tâm"
"結核","けっかく","tuberculosis","JLPT_1 JLPT","dB99/5N;ta","bệnh lao"
"決議","けつぎ","resolution, vote, decision","JLPT_1 JLPT","tcKhTpRM%o","nghị quyết, biểu quyết, quyết định"
"結合","けつごう","combination, union","JLPT_1 JLPT","Q*@FzK(@81","sự kết hợp, sự kết hợp"
"決算","けっさん","balance sheet, settlement of accounts","JLPT_1 JLPT","z2iqWC-nB~","bảng cân đối kế toán, quyết toán"
"月謝","げっしゃ","monthly tuition fee","JLPT_1 JLPT","t[*0i:*.#i","học phí hàng tháng"
"決勝","けっしょう","finals (in sports)","JLPT_1 JLPT","NFjb:+3q7*","trận chung kết (trong thể thao)"
"結晶","けっしょう","crystal, crystallization","JLPT_1 JLPT","x*(Q^EE$u3","tinh thể, sự kết tinh"
"結成","けっせい","formation","JLPT_1 JLPT","c_%F>ZhYyr","sự hình thành"
"結束","けっそく","union, unity","JLPT_1 JLPT","JdP5@BTWkb","sự đoàn kết, đoàn kết"
"げっそり","げっそり","being disheartened, losing weight","JLPT_1 JLPT","EtlnVvKbZd","chán nản, sụt cân"
"決断","けつだん","decision, determination","JLPT_1 JLPT","w;j;5-!>6(","quyết định, quyết tâm"
"月賦","げっぷ","monthly installment","JLPT_1 JLPT","I{X4ZTn7X9","trả góp hàng tháng"
"欠乏","けつぼう","shortage","JLPT_1 JLPT","x8kzLzQh~#","thiếu"
"蹴飛ばす","けとばす","to kick away, to kick (someone)","JLPT_1 JLPT","b5){X3eg^W","đá đi, đá (ai đó)"
"けなす","けなす","to speak ill of","JLPT_1 JLPT","BA]o8V-nRc","nói xấu"
"煙たい","けむたい","smoky, feeling awkward","JLPT_1 JLPT","M_8T~aeKk.","bốc khói, cảm thấy khó chịu"
"煙る","けむる","to smoke (e.g., fire)","JLPT_1 JLPT","O+^L$,-au7","hút thuốc (ví dụ: lửa)"
"獣","けもの","beast, brute","JLPT_1 JLPT","q-7J3|/7Vg","con thú, kẻ vũ phu"
"家来","けらい","retainer, retinue, servant","JLPT_1 JLPT","n|b=[)XZ>2","tùy tùng, tùy tùng, người hầu"
"下痢","げり","diarrhea","JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese","D94n#KX+u`","tiêu chảy"
"権威","けんい","authority, power, influence","JLPT_1 JLPT","lZZG^l>c$z","quyền lực, quyền lực, ảnh hưởng"
"兼業","けんぎょう","holding two jobs at the same time","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","x9DFE@YYzp","đảm nhiệm hai công việc cùng một lúc"
"原形","げんけい","original form, base form","JLPT_1 JLPT","y2|y)U#`,-","dạng ban đầu, dạng cơ bản"
"原型","げんけい","prototype, model, archetypal","JLPT_1 JLPT","d5x_w+I&U,","nguyên mẫu, kiểu mẫu, nguyên mẫu"
"権限","けんげん","power, authority, jurisdiction","JLPT_1 JLPT","wsBe&qWS]u","quyền lực, thẩm quyền, thẩm quyền"
"現行","げんこう","present, current, in operation","JLPT_1 JLPT","cB#>jxDt}]","hiện tại, hiện tại, đang hoạt động"
"健在","けんざい","in good health, well","JLPT_1 JLPT","K?xI8~wHA>","sức khỏe tốt, tốt"
"原作","げんさく","original work","JLPT_1 JLPT","K<e+,WSWtr","tác phẩm gốc"
"検事","けんじ","public prosecutor","JLPT_1 JLPT","H[xn?@;-+x","công tố viên"
"原子","げんし","atom","JLPT_1 JLPT","b[T}G,9]G?","nguyên tử"
"元首","げんしゅ","ruler, sovereign","JLPT_1 JLPT","cJ-$.|^5r+","người cai trị, có chủ quyền"
"原書","げんしょ","original document","JLPT_1 JLPT","wBia;+PSDE","tài liệu gốc"
"懸賞","けんしょう","offering prizes, winning, reward","JLPT_1 JLPT","B7|NMN9B[B","trao giải thưởng, chiến thắng, phần thưởng"
"健全","けんぜん","health, soundness, wholesome","JLPT_1 JLPT","u-bm~%/EH(","sức khỏe, sự khỏe mạnh, lành mạnh"
"元素","げんそ","element","JLPT_1 JLPT","B2tvGhK[&9","yếu tố"
"同調","どうちょう","sympathy, agree with, alignment","JLPT_1 JLPT","n#0+>4}sN5","thông cảm, đồng tình, liên kết"
"到底","とうてい","(cannot) possibly","JLPT_1 JLPT","C.#O<.PWZ+","(không thể) có thể"
"動的","どうてき","dynamic, kinetic","JLPT_1 JLPT","k^9j&Q>>|N","năng động, động học"
"尊い","とうとい","precious, valuable, noble","JLPT_1 JLPT","o/:X}@s/ud","quý giá, có giá trị, cao quý"
"貴い","とうとい","precious, valuable, noble","JLPT_1 JLPT","uE?!53}hB@","quý giá, có giá trị, cao quý"
"同等","どうとう","equality, equal, same rank","JLPT_1 JLPT","sS(wNIrQN<","bình đẳng, ngang nhau, cùng đẳng cấp"
"堂々","どうどう","magnificent, grand, impressive","JLPT_1 JLPT","O@p/U*&n{h","tráng lệ, hoành tráng, ấn tượng"
"尊ぶ","とうとぶ","to value, to prize, to esteem","JLPT_1 JLPT","NH2!B2Yh2E","coi trọng, đánh giá cao, đánh giá cao"
"どうにか","どうにか","in some way or other, one way or another","JLPT_1 JLPT","l_xfmqX[ub","bằng cách này hay cách khác, bằng cách này hay cách khác"
"投入","とうにゅう","throw, investment, making (an electrical circuit)","JLPT_1 JLPT","mwsjMMb<d>","ném, đầu tư, chế tạo (mạch điện)"
"導入","どうにゅう","introduction, bringing in, leading in","JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese","m1+j$HqcF;","giới thiệu, đưa vào, dẫn vào"
"当人","とうにん","the one concerned, the said person","JLPT_1 JLPT","l]4=/bCF3a","người liên quan, người nói"
"同封","どうふう","enclosure (e.g., in a letter)","JLPT_1 JLPT","hnY+6g21h_","bao vây (ví dụ, trong một lá thư)"
"逃亡","とうぼう","escape","JLPT_1 JLPT","qqqC#4{p[V","bỏ trốn"
"冬眠","とうみん","hibernation, winter sleep","JLPT_1 JLPT","B+T>Lb-B&,","ngủ đông, ngủ đông"
"同盟","どうめい","alliance, union, league","JLPT_1 JLPT","oBig^AFvC5","liên minh, liên đoàn, liên minh"
"どうやら","どうやら","it seems like, somehow or other","JLPT_1 JLPT","LZH$.!k~sm","có vẻ như, bằng cách này hay cách khác"
"動力","どうりょく","power, motive power, dynamic force","JLPT_1 JLPT","gcbdGzw%jw","sức mạnh, động lực, động lực"
"登録","とうろく","registration, register, record","JLPT_1 JLPT","w(]v<(of^0","đăng ký, đăng ký, ghi chép"
"討論","とうろん","discussion; debate","JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese","ft/}AOp*ZE","cuộc thảo luận; tranh luận"
"遠ざかる","とおざかる","to go far off","JLPT_1 JLPT","nANBsXm^[4","đi thật xa"
"遠回り","とおまわり","detour, roundabout way","JLPT_1 JLPT","u;(Y+10j3P","đường vòng, đường vòng"
"トーン","トーン","tone","JLPT_1 JLPT","O1)Y~lZnk@","giai điệu"
"とかく","とかく","anyhow, anyway, in any case","JLPT_1 JLPT","Jhr>yBj`X[","dù sao đi nữa, dù sao đi nữa, trong mọi trường hợp"
"とがめる","とがめる","to blame, to rebuke","JLPT_1 JLPT","tCyhd<KEBb","khiển trách, quở trách"
"時折","ときおり","sometimes","JLPT_1 JLPT","cBC8l)@|Bd","Thỉnh thoảng"
"とぎれる","とぎれる","to pause, to be interrupted","JLPT_1 JLPT","M`gmYE]A0;","tạm dừng, bị gián đoạn"
"研ぐ","とぐ","to sharpen, to grind, to polish","JLPT_1 JLPT","lUJgFysD==","mài, mài, đánh bóng"
"特技","とくぎ","special talent; skill","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","iyF,MXDXX4","tài năng đặc biệt; kỹ năng"
"独裁","どくさい","dictatorship, despotism","JLPT_1 JLPT","c+G[A,i*M0","chế độ độc tài, chuyên chế"
"特産","とくさん","specialty, special product","JLPT_1 JLPT","Cyr8}5s:<j","đặc sản, sản phẩm đặc biệt"
"独自","どくじ","original, peculiar, characteristic","JLPT_1 JLPT","iCBdeKS#GI","độc đáo, đặc biệt, đặc trưng"
"特集","とくしゅう","feature (e.g., newspaper, special edition, report)","JLPT_1 JLPT","wi!>SN]gEF","tính năng (ví dụ: báo, ấn bản đặc biệt, báo cáo)"
"独占","どくせん","monopoly","JLPT_1 JLPT","j~8Pw]-mt@","sự độc quyền"
"独創","どくそう","originality","JLPT_1 JLPT","gXnxl+EiHr","tính độc đáo"
"得点","とくてん","score, points made","JLPT_1 JLPT","u`t,J1?=>5","điểm, số điểm đạt được"
"特派","とくは","send specially, special envoy","JLPT_1 JLPT","HzEPo`9b]p","gửi đặc phái viên, đặc phái viên"
"特有","とくゆう","characteristic (of, peculiar (to))","JLPT_1 JLPT","s!rvO*5;{%","đặc trưng (của, đặc biệt (với))"
"とげ (をさす)","とげ (をさす)","thorn","JLPT_1 JLPT","hJ#iZ92?#q","gai"
"遂げる","とげる","to accomplish, to achieve, to carry out","JLPT_1 JLPT","xrXbhn4rr4","hoàn thành, đạt được, thực hiện"
"～どころか","～どころか","rather, far from","JLPT_1 JLPT","EHH{[82H7I","đúng hơn là xa"
"年頃","としごろ","age, marriageable age, adolescence","JLPT_1 JLPT","etGaTJBp9c","tuổi kết hôn, tuổi vị thành niên"
"戸締り","とじまり","closing up, locking the doors","JLPT_1 JLPT","br8:Ms=|$#","đóng cửa lại, khóa cửa lại"
"途上","とじょう","en/in route, half way","JLPT_1 JLPT","u0JdXEY0c~","en/trong lộ trình, nửa chặng đường"
"土台","どだい","foundation, base, basis","JLPT_1 JLPT","cvkea1V_|{","nền tảng, cơ sở, cơ sở"
"途絶える","とだえる","to stop, to cease, to come to an end","JLPT_1 JLPT","G6Wu+!]SF@","dừng lại, chấm dứt, kết thúc"
"特許","とっきょ","special permission, patent","JLPT_1 JLPT","y;*Z>uq]4W","sự cho phép đặc biệt, bằng sáng chế"
"特権","とっけん","privilege, special right","JLPT_1 JLPT","k%B0csu$EA","đặc quyền, đặc quyền"
"とっさに","とっさに","at once","JLPT_1 JLPT","q}5LIfDsGB","cùng một lúc"
"突如","とつじょ","suddenly, all of a sudden","JLPT_1 JLPT","vs{$6V?ZhH","đột nhiên, đột nhiên"
"とって","とって","handle, grip, knob","JLPT_1 JLPT","G05L%<Kvt?","tay cầm, nắm, núm"
"突破","とっぱ","breaking through, breakthrough, penetration","JLPT_1 JLPT","BUU#!_nB`?","đột phá, đột phá, xuyên thủng"
"土手","どて","embankment, bank","JLPT_1 JLPT","P7Y3[uoFO/","bờ kè, ngân hàng"
"届","とどけ","report, notification, registration","JLPT_1 JLPT","k&rtuoJHn+","báo cáo, thông báo, đăng ký"
"滞る","とどこおる","to stagnate, to be delayed","JLPT_1 JLPT","K*Hz>u1V/7","trì trệ, bị trì hoãn"
"整える","ととのえる","to put in order, to arrange, to adjust; to get ready, to prepare; to raise money","JLPT_1 JLPT","yz)tg)bvJH","sắp xếp, sắp xếp, điều chỉnh; sẵn sàng, chuẩn bị; để quyên tiền"
"止める","とどめる","to end, to stop, to cease, to resign","JLPT_1 JLPT","IgE:xC]C-g","kết thúc, dừng lại, chấm dứt, từ chức"
"唱える","となえる","to recite, to chant, to call upon","JLPT_1 JLPT","Gg`8L(I3?q","đọc thuộc lòng, tụng kinh, kêu gọi"
"殿様","とのさま","feudal lord","JLPT_1 JLPT","xjLi|(N)Y!","lãnh chúa phong kiến"
"土俵","どひょう","arena","JLPT_1 JLPT","kt7if2NoDZ","đấu trường"
"扉","とびら","door, opening","JLPT_1 JLPT","I24=_qRNG{","cửa, mở"
"溝","どぶ","ditch, drain, gap","JLPT_1 JLPT","Hzol[}&YZl","mương, cống, khe hở"
"徒歩","とほ","walking, going on foot","JLPT_1 JLPT","Fjm7hAD%fu","đi bộ, đi bộ"
"土木","どぼく","public works","JLPT_1 JLPT","jgd#[Gmw^^","công trình công cộng"
"とぼける","とぼける","to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage","JLPT_1 JLPT","HA39$4<O7S","giả câm, giả vờ không biết, giả vờ ngây thơ, vẻ mặt ngơ ngác; chơi ngu; ở trong tình trạng lẩm cẩm"
"乏しい","とぼしい","meager, scarce, hard up, poor","JLPT_1 JLPT","wt#tsoF,$N","ít ỏi, khan hiếm, khó khăn, nghèo nàn"
"富","とみ","wealth, fortune","JLPT_1 JLPT","kl&?2R4Ul?","sự giàu có, tài lộc"
"富む","とむ","to be rich, to become rich","JLPT_1 JLPT","Q?~wK|+t|p","trở nên giàu có, trở nên giàu có"
"共稼ぎ","ともかせぎ","working together, (husband and wife) earning a living together","JLPT_1 JLPT","K<|&apg,,5","cùng nhau làm việc, (vợ chồng) cùng nhau kiếm sống"
"伴う","ともなう","to accompany, to bring with","JLPT_1 JLPT","ntk-`u.Caj","đi cùng, mang theo"
"共働き","ともばたらき","dual income (husband and wife both working)","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","KsJK.WMk9k","thu nhập kép (vợ chồng đều đi làm)"
"ドライ","ドライ","dry","JLPT_1 JLPT","uyF82nwuCT","khô"
"ドライクリーニング","ドライクリーニング","dry cleaning","JLPT_1 JLPT","hI<4F;7$M(","giặt khô"
"ドライバー","ドライバー","driver, screwdriver","JLPT_1 JLPT","JR*AC1{b!P","trình điều khiển, tuốc nơ vít"
"ドライブイン","ドライブイン","drive in","JLPT_1 JLPT","lGQ5H]umJ","lái xe vào"
"トラブル","トラブル","trouble (sometimes used as a verb)","JLPT_1 JLPT","fF~?5;]hHp","rắc rối (đôi khi được dùng như một động từ)"
"トランジスター","トランジスター","transistor","JLPT_1 JLPT","G8*[Jm%i5[","bóng bán dẫn"
"とりあえず","とりあえず","at once, first of all, for the time being","JLPT_1 JLPT","A3E,EB~Q2G","ngay lập tức, trước hết, trong lúc này"
"取扱","とりあつかい","treatment, handling, management","JLPT_1 JLPT","rBTr^DU*Cx","điều trị, xử lý, quản lý"
"取り扱う","とりあつかう","to treat, to handle, to deal in","JLPT_1 JLPT","f<xt2FJB#W","xử lý, giải quyết, giải quyết"
"鳥居","とりい","Shinto shrine archway","JLPT_1 JLPT","bwgFGu0jgU","Cổng vòm đền thờ Thần đạo"
"取り替え","とりかえ","swap, exchange","JLPT_1 JLPT","LmK#s,9;im","trao đổi, trao đổi"
"取り組む","とりくむ","to tackle, to engage in a bout, to come to grips with","JLPT_1 JLPT","FUhxb`Icnx","giải quyết, tham gia vào một trận đấu, nắm bắt được"
"取締り","とりしまり","control, crackdown, supervision","JLPT_1 JLPT","Nn_#J1j`cb","kiểm soát, đàn áp, giám sát"
"取り締まる","とりしまる","to crack down, to control, to supervise","JLPT_1 JLPT","u>YtS}dO87","trấn áp, kiểm soát, giám sát"
"取り調べる","とりしらべる","to investigate, to examine","JLPT_1 JLPT","lTv.J/i,RR","để điều tra, để kiểm tra"
"取り立てる","とりたてる","to collect, to extort","JLPT_1 JLPT","u]pjW8@;4G","để thu thập, để tống tiền"
"取り次ぐ","とりつぐ","to act as an agent for, to announce (someone), to convey (a message)","JLPT_1 JLPT","h81vV]thLx","làm đại diện, thông báo (ai đó), truyền đạt (một thông điệp)"
"取り付ける","とりつける","to furnish, to install; to get someone's agreement","JLPT_1 JLPT","OLVn)Sl<l<","trang bị, lắp đặt; để có được sự đồng ý của ai đó"
"取り除く","とりのぞく","to remove, to take away, to set apart","JLPT_1 JLPT","hNl.|rVPKI","loại bỏ, lấy đi, tách ra"
"取引","とりひき","transactions, dealings, business","JLPT_1 JLPT","QK;D?PC(Iv","giao dịch, giao dịch, kinh doanh"
"取り巻く","とりまく","to surround, to circle, to enclose","JLPT_1 JLPT","E%Fl$NJpIJ","bao quanh, bao quanh, bao quanh"
"取り混ぜる","とりまぜる","to mix, to put together","JLPT_1 JLPT","Bo(wYaa}Ah","để trộn, để kết hợp với nhau"
"取り戻す","とりもどす","to take back, to regain","JLPT_1 JLPT","pPlunQ{V=M","lấy lại, lấy lại"
"取り寄せる","とりよせる","to order, to send away for","JLPT_1 JLPT","M^8;v4K?HH","đặt hàng, gửi đi"
"ドリル","ドリル","drill","JLPT_1 JLPT","tLuvrWP-bR","máy khoan"
"副","とりわけ","especially, above all","JLPT_1 JLPT","I|~T6euZ&R","đặc biệt, trên hết"
"とろける","とろける","melt; to be enchanted with","JLPT_1 JLPT","zCt%1bEngS","tan chảy; bị mê hoặc với"
"鈍感","どんかん","thickheadedness, stolidity","JLPT_1 JLPT","AGgv#X94Iv","sự cứng đầu, sự cứng nhắc"
